 Series , Team 1 ,  vs  , Team 2 
ICC Cricket World Cup,South Africa ,   / , Australia 
Australia won by 3 wickets (with 16 balls remaining),212,   / , 215/7
 
BATTERS,R,B,4s,6s,SR,This Bowler,last 5 ovs
Pat Cummins,:14,:29,:2,:0,:48.27,:4 (2b),:8 (18b)
Mitchell Starc ,:16,:38,:2,:0,:42.10,:4 (6b),:5 (13b)
 
BOWLERS,O,M,R,W,Econ,0s,4s,6s
Marco Jansen,:4.2,:0,:35,:0,:8.07,:18,:6,:1
Aiden Markram,:8,:1,:23,:1,:2.87,:34,:1,:1
 
 Series , Team 1 ,  vs  , Team 2 
ICC Cricket World Cup,India ,   / , New Zealand 
India won by 70 runs,397/4,   / , 327
 
PLAYER,Team,TI,Runs,I. Runs,B. Impact,Bowl,I. Wkts,Bo. Impact
Daryl Mitchell,:NZ,:153.26,:134(119),:146.34,:153.26,:-,:-,:0
Mohammed Shami,:IND,:150.47,:-,:-,:0,:7/57,:6.54,:150.47
Virat Kohli,:IND,:117.54,:117(113),:112.77,:117.54,:-,:-,:0
Shreyas Iyer,:IND,:116.57,:105(70),:111.7,:116.57,:-,:-,:0
Shubman Gill,:IND,:81.18,:80(66),:86.13,:81.18,:-,:-,:0
 
 Series , Team 1 ,  vs  , Team 2 
Women's Big Bash League,Scorchers ,   / , Sixers 
Scorchers won by 61 runs,189/6,   / , 128
 
 Series , Team 1 ,  vs  , Team 2 
Women's T20 Quadrangular Series (in Hong Kong),Nepal Women ,   / , Hong Kong(W) 
Hong Kong(W) won by 9 wickets (with 66 balls remaining),56,   / , 57/1
 
 Series , Team 1 ,  vs  , Team 2 
Sheffield Shield,Victoria ,   / , Queensland 
Day 1 - Queensland chose to field.,201/4,   / ,(96 ov)  --
 
BATTERS,R,B,4s,6s,SR,This Bowler,last 10 ovs
Will Sutherland,:16,:23,:3,:0,:69.56,:9 (10b),:16 (23b)
Campbell Kellaway ,:30,:90,:5,:0,:33.33,:7 (30b),:4 (30b)
 
BOWLERS,O,M,R,W,Econ,0s,4s,6s
Jack Wildermuth,:21,:10,:31,:2,:1.47,:112,:4,:0
Liam Guthrie,:20,:5,:45,:1,:2.25,:97,:4,:0
 
 Series , Team 1 ,  vs  , Team 2 
Sheffield Shield,South Aust ,   / , West Aust 
Day 2 - South Aust lead by 107 runs.,--,   / ,(35 ov)  --
 
BATTERS,R,B,4s,6s,SR,This Bowler,last 10 ovs
Harry Nielsen,:42,:67,:4,:1,:62.68,:3 (8b),:29 (35b)
Ben Manenti ,:7,:10,:1,:0,:70.00,:6 (6b),:7 (10b)
 
BOWLERS,O,M,R,W,Econ,0s,4s,6s
Lance Morris,:8,:1,:24,:2,:3.00,:37,:3,:0
Aaron Hardie,:7,:2,:18,:1,:2.57,:32,:1,:0
 
 Series , Team 1 ,  vs  , Team 2 
Women's T20 Quadrangular Series (in Hong Kong),Tanzania Wmn ,   / , Japan (W) 
Tanzania Wmn won by 111 runs,139/9,   / , 28
 
