Series:,ICC Cricket World Cup
Match:,Netherlands , South Africa 15th Match
Score,245/8,(43/43 ov)  207
Description,Netherlands won by 38 runs
Series:,Nepal Tri-Nation T20I Series
Match:,U.A.E. , Nepal 1st Match
Score,9/1,(2.2/20 ov)  --
Description,Nepal chose to field.
BATTERS,R,B,4s,6s,SR,This Bowler,last 5 balls
Muhammad Waseem,10,10,0,1,100.00,9 (5b),7 (4b)
Asif Khan (rhb),2,2,0,0,100.00,0 (1b),1 (1b)
 
BOWLERS,O,M,R,W,Econ,0s,4s,6s,This spell
Sompal Kami,2.1,0,12,1,5.53,10,0,1,-
Karan KC,2,0,9,1,4.50,7,1,0,-
 
Series:,Sheffield Shield
Match:,Tasmania , West Aust 6th Match
Score,--,(30 ov)  --
Description,Day 4 - Tasmania trail by 71 runs.
BATTERS,R,B,4s,6s,SR,This Bowler,last 10 ovs
Matthew Wade,10,66,1,0,15.15,1 (23b),3 (28b)
Caleb Jewell (lhb),26,74,4,0,35.13,5 (43b),6 (32b)
 
BOWLERS,O,M,R,W,Econ,0s,4s,6s,This spell
Corey Rocchiccioli,12,10,6,1,0.50,69,1,0,-
Charles Stobo,5,0,9,0,1.80,24,1,0,-
 
Series:,Syed Mushtaq Ali Trophy
Match:,Haryana , Chhattisgarh Group A
Score,162/5, 163/6
Description,Chhattisgarh won by 4 wickets (with 4 balls remaining)
Series:,Syed Mushtaq Ali Trophy
Match:,Saurashtra , Gujarat Group C
Score,122/6,(16.2/16.2 ov)  110/4
Description,Gujarat won by 6 wickets (with 10 balls remaining) (revised target)
Series:,Syed Mushtaq Ali Trophy
Match:,Nagaland , Tripura Group E
Score,129/4, 132/7
Description,Tripura won by 3 wickets (with 1 ball remaining)
Series:,Syed Mushtaq Ali Trophy
Match:,Kerala , Services Group B
Score,189/3, 188/5
Description,Kerala won by 1 run
Series:,Syed Mushtaq Ali Trophy
Match:,Puducherry , Jharkhand Group D
Score,188/4, 189/6
Description,Jharkhand won by 4 wickets (with 3 balls remaining)
Series:,Sheffield Shield
Match:,South Aust , NSW 5th Match
Score,--, --
Description,South Aust won by 186 runs
Series:,Ireland Women v Scotland Women
Match:,Scot Women , IRE WMN 1st ODI
Score,211, 171
Description,Scot Women won by 40 runs
